date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2020-04-28,36.0,-0.04,-0.00111,-0.111,36.0,36.38,"April 28, 20",35.43,36.04,6129400.0,6129400.0,35.93667
2020-04-27,35.82,1.18,0.03406,3.406,35.82,36.01,"April 27, 20",34.3,34.64,5311500.0,5311500.0,35.37667
2020-04-24,35.03,-0.5700000000000001,-0.01601,-1.601,35.03,35.73,"April 24, 20",34.45,35.6,5897400.0,5897400.0,35.07
2020-04-23,35.16,0.04,0.0011400000000000002,0.114,35.16,36.12,"April 23, 20",34.92,35.12,6965000.0,6965000.0,35.4
2020-04-22,34.86,0.09,0.0025900000000000003,0.259,34.86,35.07,"April 22, 20",34.31,34.77,9121100.0,9121100.0,34.74667
2020-04-21,32.93,0.66,0.020450000000000003,2.045,32.93,33.21,"April 21, 20",31.96,32.27,10279799.999999998,10279799.999999998,32.7
2020-04-20,33.48,-0.53,-0.015580000000000002,-1.558,33.48,34.71,"April 20, 20",33.13,34.01,10332500.0,10332500.0,33.77333
2020-04-17,35.48,1.35,0.03955,3.955,35.48,35.49,"April 17, 20",34.06,34.13,8338200.0,8338200.0,35.01
2020-04-16,32.6,-0.76,-0.02278,-2.278,32.6,33.4,"April 16, 20",32.46,33.36,9712400.0,9712400.0,32.82
2020-04-15,34.36,-0.53,-0.01519,-1.5190000000000001,34.36,34.91,"April 15, 20",33.64,34.89,11036300.000000002,11036300.000000002,34.30333
2020-04-14,37.01,-0.23,-0.006180000000000001,-0.618,37.01,37.67,"April 14, 20",36.55,37.24,7800800.0,7800800.0,37.07667
2020-04-13,37.37,-1.5,-0.038590000000000006,-3.859,37.37,39.04,"April 13, 20",37.02,38.87,4896900.0,4896900.0,37.81
2020-04-09,37.91,-0.63,-0.01635,-1.635,37.91,39.23,"April 09, 20",36.87,38.54,8266300.0,8266300.0,38.00333
2020-04-08,38.07,0.61,0.016280000000000003,1.6280000000000001,38.07,38.09,"April 08, 20",36.96,37.46,5400300.0,5400300.0,37.70667
2020-04-07,37.26,-1.01,-0.026390000000000004,-2.6390000000000002,37.26,38.85,"April 07, 20",37.08,38.27,8936100.0,8936100.0,37.73
2020-04-06,37.33,0.62,0.016890000000000002,1.689,37.33,37.45,"April 06, 20",36.14,36.71,7266000.0,7266000.0,36.97333
2020-04-03,36.24,-1.28,-0.034120000000000004,-3.412,36.24,37.86,"April 03, 20",35.56,37.52,9523300.0,9523300.0,36.55333
2020-04-02,38.96,0.33,0.00854,0.854,38.96,40.35,"April 02, 20",37.33,38.63,14720200.000000002,14720200.000000002,38.88
2020-04-01,35.31,-1.27,-0.03472,-3.472,35.31,36.87,"April 01, 20",34.8,36.58,11599900.0,11599900.0,35.66
2020-03-31,34.89,-0.26,-0.0074,-0.74,34.89,35.84,"March 31, 20",34.09,35.15,11036200.0,11036200.0,34.94
2020-03-30,33.44,0.54,0.01641,1.641,33.44,33.67,"March 30, 20",32.12,32.9,11143600.0,11143600.0,33.07667
2020-03-27,31.64,-1.05,-0.03212,-3.212,31.64,32.72,"March 27, 20",31.56,32.69,9036900.0,9036900.0,31.97333
2020-03-26,34.93,1.26,0.03742,3.742,34.93,35.05,"March 26, 20",33.63,33.67,15093399.999999998,15093399.999999998,34.53667
2020-03-25,34.34,0.66,0.0196,1.96,34.34,35.75,"March 25, 20",32.33,33.68,14715300.0,14715300.0,34.14
2020-03-24,32.11,1.5899999999999999,0.0521,5.21,32.11,32.79,"March 24, 20",30.01,30.52,19493300.000000004,19493300.000000004,31.63667
2020-03-23,26.83,0.19,0.007130000000000001,0.713,26.83,27.23,"March 23, 20",25.91,26.64,21465200.000000004,21465200.000000004,26.65667
2020-03-20,25.08,-0.5700000000000001,-0.02222,-2.222,25.08,26.44,"March 20, 20",24.45,25.65,15032600.0,15032600.0,25.32333
2020-03-19,24.04,0.87,0.03755,3.755,24.04,25.16,"March 19, 20",22.3,23.17,14629300.0,14629300.0,23.83333
2020-03-18,21.62,-2.2,-0.09236000000000001,-9.236,21.62,24.12,"March 18, 20",21.26,23.82,14225300.0,14225300.0,22.33333
2020-03-17,25.66,-0.43,-0.01648,-1.6480000000000001,25.66,26.64,"March 17, 20",25.32,26.09,12320400.0,12320400.0,25.87333
